Vehicle full name,Manufacturing,Model,Top speed (km/hr),Price (INR),Fuel Type,Wheelers type,Battery capacity [kWh],Full charging time (HR),Kerb weight (KG),Range (km/hr),Fast Charging, Drive Type, Number of Seats,boot space (L), Number of Airbags,Type of brakes,Max Torque (N-M),Type of Vehicle
Hyundai Ioniq electric,Hyundai,Ioniq electric,165,3000000,Electric,four wheeler,38.3,10,1970,311,YES,2WD (front),5,357,7,disc (front + rear),295,Cars
Jaguar I-Pace,Jaguar,I-Pace,200,11200000,Electric,four wheeler,90,,2670,470,YES,4WD,5,656,,disc (front + rear),696,Cars
Kia e-Niro 39.2kWh,Kia,e-Niro 39.2kWh,170,2800000,Electric,four wheeler,39.2,,2080,289,YES,2WD (front),5,451,,disc (front + rear),245,Cars
Kia e-Niro 64kWh,Kia,e-Niro 64kWh,170,3200000,Electric,four wheeler,64,,2230,455,YES,2WD (front),5,451,,disc (front + rear),415,Cars
Kia e-Soul 39.2kWh,Kia,e-Soul 39.2kWh,157,2200000,Electric,four wheeler,39.2,6.3,1682,276,YES,2WD (front),5,315,,disc (front + rear),395,Cars
Kia e-Soul 64kWh,Kia,e-Soul 64kWh,167,1000000,Electric,four wheeler,64,10.3,1682,452,YES,2WD (front),5,315,,disc (front + rear),395,Cars
Mini Cooper SE,MIni,Cooper SE,150,4870000,Electric,four wheeler,28.9,3.3,1770,234,YES,2WD (front),5,211,6,disc (front + rear),270,Cars
Nissan Leaf,Nissan,Leaf,144,,Electric,four wheeler,40,,1995,270,YES,2WD (front),5,435,,disc (front + rear),320,Cars
Nissan Leaf e+,Nissan,Leaf e+,157,,Electric,four wheeler,62,,2140,385,YES,2WD (front),5,435,,disc (front + rear),340,Cars
Opel Corsa-e,Opel,Corsa-e,150,2168320,Electric,four wheeler,50,7.15,1916,337,NO,2WD (front)   ,5,267,,disc (front + rear),260,Cars
Opel Mokka-e,Opel,Mokka-e,150,,Electric,four wheeler,50,,2015,324,YES,2WD (front )  ,5,310,,disc (front + rear),260,Cars
Peugeot e-208,Peugeot,e-208,150,1293600,Electric,four wheeler,50,7.3,1918,340,YES,2WD (front ) ,5,311,,disc (front + rear),260,Cars
Peugeot e-2008,Peugeot,e-2008,150,1500000,Electric,four wheeler,50,7.15,1548,320,YES,2WD (front ),5,434,,disc (front + rear),260,Cars
